Mood,DateRaw,type,noteMood,date
Happy,"November 19, 2023 at 04:10AM",mood,,11/19/2023 18:10:00
Happy,"November 19, 2023 at 09:19AM",mood,,11/19/2023 23:19:00
Happy,"November 19, 2023 at 06:04PM",mood,,11/20/2023 8:04:00
Neutral,"November 19, 2023 at 07:22PM",mood,,11/20/2023 9:22:00
Nervous,"November 19, 2023 at 11:25PM",mood,,11/20/2023 13:25:00
Nervous,"November 20, 2023 at 02:02AM",mood,,11/20/2023 16:02:00
Забил на дела и не сделал важного,"November 20, 2023 at 02:03AM",note,nervous,11/20/2023 16:03:00
Nervous,"November 20, 2023 at 04:14AM",mood,,11/20/2023 18:14:00
Nervous,"November 20, 2023 at 05:58AM",mood,,11/20/2023 19:58:00
"Вечера с Т очень выматывают. Он хочет кучу внимания, я как будто растворяюсь в этом","November 20, 2023 at 05:58AM",note,nervous,11/20/2023 19:58:00
Nervous,"November 20, 2023 at 09:42AM",mood,,11/20/2023 23:42:00
Nervous,"November 20, 2023 at 06:18PM",mood,,11/21/2023 8:18:00
Nervous,"November 20, 2023 at 06:51PM",mood,,11/21/2023 8:51:00
Nervous,"November 20, 2023 at 06:58PM",mood,,11/21/2023 8:58:00
Nervous,"November 20, 2023 at 06:58PM",mood,,11/21/2023 8:58:00
Nervous,"November 20, 2023 at 07:51PM",mood,,11/21/2023 9:51:00
Confident,"November 20, 2023 at 07:52PM",goal,,11/21/2023 9:52:00
Happy,"November 20, 2023 at 07:52PM",mood,,11/21/2023 9:52:00
Confident,"November 20, 2023 at 09:05PM",goal,,11/21/2023 11:05:00
Nervous,"November 20, 2023 at 09:21PM",mood,,11/21/2023 11:21:00
Nervous,"November 20, 2023 at 09:54PM",mood,,11/21/2023 11:54:00
Nervous,"November 20, 2023 at 10:51PM",mood,,11/21/2023 12:51:00
Nervous,"November 20, 2023 at 10:51PM",mood,,11/21/2023 12:51:00
Nervous,"November 20, 2023 at 11:24PM",mood,,11/21/2023 13:24:00
Nervous,"November 20, 2023 at 11:27PM",mood,,11/21/2023 13:27:00
Незаконченные предложения,"November 21, 2023 at 02:17AM",note,happy,11/21/2023 16:17:00
Confident,"November 21, 2023 at 04:37AM",goal,,11/21/2023 18:37:00
Happy,"November 21, 2023 at 04:37AM",mood,,11/21/2023 18:37:00
Confident,"November 21, 2023 at 04:51AM",goal,,11/21/2023 18:51:00
Neutral,"November 21, 2023 at 08:32AM",mood,,11/21/2023 22:32:00
Nervous,"November 21, 2023 at 06:02PM",mood,,11/22/2023 8:02:00
Happy,"November 21, 2023 at 06:03PM",mood,,11/22/2023 8:03:00
Nervous,"November 21, 2023 at 06:36PM",mood,,11/22/2023 8:36:00
Happy,"November 21, 2023 at 08:55PM",mood,,11/22/2023 10:55:00
Confident,"November 21, 2023 at 09:50PM",goal,,11/22/2023 11:50:00
Happy,"November 21, 2023 at 09:50PM",mood,,11/22/2023 11:50:00
Confident,"November 21, 2023 at 11:30PM",goal,,11/22/2023 13:30:00
Продуктивная работа,"November 22, 2023 at 02:09AM",note,happy,11/22/2023 16:09:00
Confident,"November 22, 2023 at 02:22AM",goal,,11/22/2023 16:22:00
Confident,"November 22, 2023 at 03:22AM",goal,,11/22/2023 17:22:00
Проговорил конфликт с М. Был осознаннее,"November 22, 2023 at 09:39AM",note,happy,11/22/2023 23:39:00
Happy,"November 22, 2023 at 09:44AM",mood,,11/22/2023 23:44:00
Happy,"November 22, 2023 at 09:45AM",mood,,11/22/2023 23:45:00
Happy,"November 22, 2023 at 09:45AM",mood,,11/22/2023 23:45:00
Happy,"November 22, 2023 at 09:45AM",mood,,11/22/2023 23:45:00
Happy,"November 22, 2023 at 09:45AM",mood,,11/22/2023 23:45:00
Confident,"November 22, 2023 at 09:11PM",goal,,11/23/2023 11:11:00
Happy,"November 22, 2023 at 09:11PM",mood,,11/23/2023 11:11:00
Confident,"November 22, 2023 at 10:46PM",goal,,11/23/2023 12:46:00
Happy,"November 22, 2023 at 10:46PM",mood,,11/23/2023 12:46:00
Nervous,"November 23, 2023 at 03:25AM",mood,,11/23/2023 17:25:00
Neutral,"November 23, 2023 at 06:11AM",mood,,11/23/2023 20:11:00
Happy,"November 23, 2023 at 09:16AM",mood,,11/23/2023 23:16:00
Happy,"November 23, 2023 at 09:16AM",mood,,11/23/2023 23:16:00
Happy,"November 23, 2023 at 08:34PM",mood,,11/24/2023 10:34:00
Confident,"November 23, 2023 at 08:36PM",goal,,11/24/2023 10:36:00
Happy,"November 23, 2023 at 10:33PM",mood,,11/24/2023 12:33:00
Confident,"November 23, 2023 at 10:33PM",goal,,11/24/2023 12:33:00
Nervous,"November 24, 2023 at 02:20AM",mood,,11/24/2023 16:20:00
Презентую результаты свое работы и остро реагирую на критику,"November 24, 2023 at 02:20AM",note,nervous,11/24/2023 16:20:00
Confident,"November 24, 2023 at 05:20AM",goal,,11/24/2023 19:20:00
Happy,"November 24, 2023 at 05:20AM",mood,,11/24/2023 19:20:00
Confident,"November 24, 2023 at 05:21AM",goal,,11/24/2023 19:21:00
Happy,"November 24, 2023 at 06:25AM",mood,,11/24/2023 20:25:00
Happy,"November 24, 2023 at 09:04AM",mood,,11/24/2023 23:04:00
Nervous,"November 24, 2023 at 10:04PM",mood,,11/25/2023 12:04:00
Neutral,"November 24, 2023 at 11:18PM",mood,,11/25/2023 13:18:00
Happy,"November 25, 2023 at 12:02AM",mood,,11/25/2023 14:02:00
Nervous,"November 25, 2023 at 12:31AM",mood,,11/25/2023 14:31:00
Nervous,"November 25, 2023 at 12:31AM",mood,,11/25/2023 14:31:00
Nervous,"November 25, 2023 at 12:31AM",mood,,11/25/2023 14:31:00
Neutral,"November 25, 2023 at 01:20AM",mood,,11/25/2023 15:20:00
Happy,"November 25, 2023 at 01:32AM",mood,,11/25/2023 15:32:00
Confident,"November 25, 2023 at 03:16AM",goal,,11/25/2023 17:16:00
Neutral,"November 25, 2023 at 03:16AM",mood,,11/25/2023 17:16:00
Happy,"November 25, 2023 at 03:47AM",mood,,11/25/2023 17:47:00
Happy,"November 25, 2023 at 05:25AM",mood,,11/25/2023 19:25:00
Happy,"November 25, 2023 at 10:00AM",mood,,11/26/2023 0:00:00
Чувство - желание что то делать. Жаль что появляется оно перед сном. Но чувствую уверенность,"November 25, 2023 at 10:01AM",note,happy,11/26/2023 0:01:00
Happy,"November 25, 2023 at 08:17PM",mood,,11/26/2023 10:17:00
Confident,"November 25, 2023 at 08:23PM",goal,,11/26/2023 10:23:00
Nervous,"November 25, 2023 at 08:50PM",mood,,11/26/2023 10:50:00
Happy,"November 25, 2023 at 08:50PM",mood,,11/26/2023 10:50:00
Happy,"November 25, 2023 at 09:12PM",mood,,11/26/2023 11:12:00
Happy,"November 25, 2023 at 09:56PM",mood,,11/26/2023 11:56:00
Happy,"November 25, 2023 at 10:16PM",mood,,11/26/2023 12:16:00
Happy,"November 25, 2023 at 10:16PM",mood,,11/26/2023 12:16:00
Confident,"November 25, 2023 at 10:57PM",goal,,11/26/2023 12:57:00
Happy,"November 25, 2023 at 11:10PM",mood,,11/26/2023 13:10:00
Nervous,"November 25, 2023 at 11:23PM",mood,,11/26/2023 13:23:00
Nervous,"November 26, 2023 at 12:38AM",mood,,11/26/2023 14:38:00
Neutral,"November 26, 2023 at 12:50AM",mood,,11/26/2023 14:50:00
"Выпил два кофе, чувствую что напряжен, тревожен","November 26, 2023 at 12:51AM",note,nervous,11/26/2023 14:51:00
Nervous,"November 26, 2023 at 12:51AM",mood,,11/26/2023 14:51:00
Test,"November 26, 2023 at 01:22AM",note,happy,11/26/2023 15:22:00
Делаю свой дашборд. Чувствую что созидаю,"November 26, 2023 at 01:40AM",note,happy,11/26/2023 15:40:00
Happy,"November 26, 2023 at 01:46AM",mood,,11/26/2023 15:46:00
Nervous,"November 26, 2023 at 02:02AM",mood,,11/26/2023 16:02:00
Nervous,"November 26, 2023 at 02:18AM",mood,,11/26/2023 16:18:00
Nervous,"November 26, 2023 at 02:40AM",mood,,11/26/2023 16:40:00
Nervous,"November 26, 2023 at 02:55AM",mood,,11/26/2023 16:55:00
Nervous,"November 26, 2023 at 03:48AM",mood,,11/26/2023 17:48:00
Упадок сил,"November 26, 2023 at 07:14AM",note,nervous,11/26/2023 21:14:00
Neutral,"November 26, 2023 at 08:45AM",mood,,11/26/2023 22:45:00
Happy,"November 26, 2023 at 05:59PM",mood,,11/27/2023 7:59:00
Happy,"November 26, 2023 at 06:12PM",mood,,11/27/2023 8:12:00
Nervous,"November 26, 2023 at 06:36PM",mood,,11/27/2023 8:36:00
"Какое то физическое истощение. Уставшие глаза, заложен нос, болит поясница - уже после сна","November 26, 2023 at 06:37PM",note,nervous,11/27/2023 8:37:00
Happy,"November 26, 2023 at 10:30PM",mood,,11/27/2023 12:30:00
Happy,"November 26, 2023 at 10:51PM",mood,,11/27/2023 12:51:00
Happy,"November 26, 2023 at 11:24PM",mood,,11/27/2023 13:24:00
Happy,"November 27, 2023 at 01:08AM",mood,,11/27/2023 15:08:00
Happy,"November 27, 2023 at 02:00AM",mood,,11/27/2023 16:00:00
Happy,"November 27, 2023 at 02:30AM",mood,,11/27/2023 16:30:00
Happy,"November 27, 2023 at 03:20AM",mood,,11/27/2023 17:20:00
Nervous,"November 27, 2023 at 03:46AM",mood,,11/27/2023 17:46:00
Nervous,"November 27, 2023 at 06:28AM",mood,,11/27/2023 20:28:00
Утром бодр и уверен с пол вечер выдохся. Как будто это часть большого цикла и я в его конце,"November 27, 2023 at 08:51AM",note,nervous,11/27/2023 22:51:00
Nervous,"November 27, 2023 at 06:23PM",mood,,11/28/2023 8:23:00
Nervous,"November 27, 2023 at 06:23PM",mood,,11/28/2023 8:23:00
Neutral,"November 27, 2023 at 09:24PM",mood,,11/28/2023 11:24:00
Neutral,"November 28, 2023 at 02:01AM",mood,,11/28/2023 16:01:00
Neutral,"November 28, 2023 at 02:36AM",mood,,11/28/2023 16:36:00
Neutral,"November 28, 2023 at 03:22AM",mood,,11/28/2023 17:22:00
Neutral,"November 28, 2023 at 06:38PM",mood,,11/29/2023 8:38:00
Neutral,"November 28, 2023 at 09:36PM",mood,,11/29/2023 11:36:00
Happy,"November 28, 2023 at 10:59PM",mood,,11/29/2023 12:59:00
Neutral,"November 29, 2023 at 12:41AM",mood,,11/29/2023 14:41:00
Neutral,"November 29, 2023 at 02:03AM",mood,,11/29/2023 16:03:00
Neutral,"November 29, 2023 at 02:16AM",mood,,11/29/2023 16:16:00
Neutral,"November 29, 2023 at 03:12AM",mood,,11/29/2023 17:12:00
Nervous,"November 29, 2023 at 03:12AM",mood,,11/29/2023 17:12:00
Nervous,"November 29, 2023 at 04:36AM",mood,,11/29/2023 18:36:00
Сгорела картошка. Бесит,"November 29, 2023 at 04:36AM",note,nervous,11/29/2023 18:36:00
Nervous,"November 29, 2023 at 05:00AM",mood,,11/29/2023 19:00:00
Happy,"November 29, 2023 at 06:09AM",mood,,11/29/2023 20:09:00
Neutral,"November 29, 2023 at 07:14AM",mood,,11/29/2023 21:14:00
Neutral,"November 29, 2023 at 09:14AM",mood,,11/29/2023 23:14:00
Neutral,"November 29, 2023 at 05:55PM",mood,,11/30/2023 7:55:00
Neutral,"November 29, 2023 at 06:33PM",mood,,11/30/2023 8:33:00
Happy,"November 29, 2023 at 07:10PM",mood,,11/30/2023 9:10:00
Happy,"November 29, 2023 at 08:34PM",mood,,11/30/2023 10:34:00
